row,key_hash_hex,record_index,jaJP_flags,jaJP_text,enUS_flags,enUS_text,zhTW_flags,zhTW_text
88,3EEC9DB0,107,0,【第八章】 絆 前-2,0,[Chapter 8] Bond I - 2,0,【第八章】 牽絆 前-2
89,40046874,222,0,【最終章】 不滅の友情 顕現する者,0,[Final Chapter] Manifestor of Eternal Bonds,0,【最終章】 不滅的友情 顯現之人
90,40EF8A24,11,0,【第壱章】 ネコネの慟哭 弐,0,[Chapter 1] Nekone's Cry II,0,【第壹章】 貓音的慟哭 貳
91,42B256EB,100,0,【第七章】 ルルティエの決意 ［モノローグ］,0,[Chapter 7] Rulutieh's Determination [Monologue],0,【第七章】 露露緹耶的決心 ［獨白］
92,4392274C,153,0,【第拾弐章】 死中に活あり,0,[Chapter 12] Life in the Face of Death,0,【第拾貳章】 絕地逢生
93,43C11596,2,0,【第壱章】 戻れぬ想い 前-1,0,[Chapter 1] Irretrievable Memories I - 1,0,【第壹章】 無處可歸的念想 前-1
94,441555D9,181,0,【第拾伍章】 封印の扉 ［モノローグ］,0,[Chapter 15] Sealed Door [Monologue],0,【第拾伍章】 封印之扉 ［獨白］
95,4487D663,149,0,【第拾弐章】 決戦前夜,0,[Chapter 12] The Eve of the Fight,0,【第拾貳章】 決戰前夕
96,4487FB45,210,0,【第拾八章】 大封印 前-1,0,[Chapter 18] Ohn Riyaak I - 1,0,【第拾八章】 大封印 前-1
97,46D802FD,125,0,【第拾章】 奥義披露？,0,[Chapter 10] Okugi Revealed?,0,【第拾章】 展現奧義？
98,4732BBAF,240,0,【最終章】 神話の始まり 後-4 ［ビジュアルシネマ］,0,[Final Chapter] The Beginning of a Myth II - 4 [Cinematic],0,【最終章】 神話的開端 後-4 ［視覺影片］
99,47C179AE,193,0,【第拾伍章】 叡智への扉-2,0,[Chapter 15] Door to Wisdom II,0,【第拾伍章】 通往睿智之扉-2
100,4829790B,151,0,【第拾弐章】 復讐は終わらず 前-2,0,[Chapter 12] Endless Revenge I - 2,0,【第拾貳章】 復仇永無止境 前-2
101,482B5C23,60,0,【第伍章】 トゥスクルよりの使者,0,[Chapter 5] The Messenger from Tuskur,0,【第伍章】 來自圖斯庫爾的使者
102,4848FA73,276,66,【第弐章】 シノノンのお出かけ 前編 前,66,[Chapter 2] Shinonon's Excursion I - 1,66,【第貳章】 詩諾農出門 前篇 前
103,498A9044,264,78,【第壱章】 エンナカムイ周辺の偵察 前,78,[Chapter 1] Ennakamuy Area Recon I,78,【第壹章】 偵察恩納卡姆依周邊 前
104,49A15CAC,194,0,【第拾伍章】 詭計突破 前,0,[Chapter 15] Tearing Through a Tangled Web I,0,【第拾伍章】 打破詭計 前
105,49A5254A,218,0,【最終章】 ウィツァルネミテアの娘-1,0,[Final Chapter] Daughter of Uitsualnemetia - 1,0,【最終章】 維茨亞奈米迪亞的女兒-1
106,49AFD928,254,2,【最終章】 大封印（オン・リィヤーク） ［ビジュアルシネマ］,2,[Final Chapter] Ohn Riyaak [Cinematic],2,【最終章】 大封印（奧‧利楊克） ［視覺影片］
107,49D49FBB,256,0,【第壱章】 オープニング ［ビジュアルシネマ］,0,[Chapter 1] Opening [Cinematic],0,【第壹章】 Opening ［視覺影片］
108,49E245F3,184,0,【第拾伍章】 鍵,0,[Chapter 15] The Key,0,【第拾伍章】 關鍵
109,4A0E442A,288,54,【第四章】 凸凹の流れ者 後編 前,54,[Chapter 4] The Rugged Wanderers II - 1,54,【第肆章】 參差不齊的流浪者 後篇 前
110,4A234B9E,172,0,【第拾伍章】 役目の終わり,0,[Chapter 15] A Role Fulfilled,0,【第拾伍章】 使命完成
111,4A5CBAFF,50,0,【第四章】 対なるもの ［モノローグ］,0,[Chapter 4] Mirror Opposites [Monologue],0,【第肆章】 成對之物 ［獨白］
112,4A9EE10C,160,0,【第拾参章】 決戦の帝都 前 ［モノローグ］,0,[Chapter 13] Imperial Capital Showdown I [Monologue],0,【第拾參章】 帝都決戰 前 ［獨白］
113,4BC7FDCB,78,0,【第六章】 風呂にかける情熱 壱,0,[Chapter 6] Bathhouse Passion I,0,【第六章】 對入浴的熱情 壹
114,4BCC2E1D,300,42,【第七章】 クジュウリの強者 前,42,[Chapter 7] Kujyuri's Mightiest I,42,【第七章】 九重里的強者 前
115,4CC586C1,285,57,【第参章】 オシュトルの剣 前編,57,[Chapter 3] The Blade of Oshtor I,57,【第參章】 奧修特爾的劍 前篇
116,4D07ECF6,330,12,【最終章】 ムネチカの武者修行 後編 前,12,[Final Chapter] Munechika's Training Journey III - 1,12,【最終章】 宗近的武士修行 後篇 前
117,4DAD0243,157,0,【第拾弐章】 豪敵、再び 後,0,[Chapter 12] Return of a Fierce Adversary II,0,【第拾貳章】 強敵再臨 後
118,4DF2024E,152,0,【第拾弐章】 復讐は終わらず 後,0,[Chapter 12] Endless Revenge II,0,【第拾貳章】 復仇永無止境 後
119,4E2C4BBD,230,0,【最終章】 その日を信じて,0,[Final Chapter] Believe in that Day,0,【最終章】 相信那個日子
120,4E833898,310,32,【第八章】 長女襲来 前,32,[Chapter 8] Eldest Daughter Attack I,32,【第八章】 長女來襲 前
121,4ED89DF4,177,0,【第拾伍章】 トゥスクル見物,0,[Chapter 15] Tuskur Sightseeing,0,【第拾伍章】 參訪圖斯庫爾
122,4F15691F,46,0,【第四章】 ルルティエの戦場,0,[Chapter 4] Rulutieh's Battlefield,0,【第肆章】 露露緹耶的戰場
123,4F4152AF,320,22,【第拾壱章】 皇子と皇子と姫 前,22,"[Chapter 11] The Prince, the Prince, and the Princess I",22,【第拾壹章】 皇子與皇子與公主 前
124,4FB8F2C9,187,0,【第拾伍章】 人を継ぐ者 前,0,[Chapter 15] Heir to Humanity I,0,【第拾伍章】 前人的繼承者 前
125,500D0302,145,0,【第拾弐章】 クオン、風邪を引いた日,0,[Chapter 12] The Day Kuon Catches a Cold,0,【第拾貳章】 久遠，感冒的一天
126,5091A105,266,76,【第壱章】 エンナカムイ周辺の偵察 後,76,[Chapter 1] Ennakamuy Area Recon III,76,【第壹章】 偵察恩納卡姆依周邊 後
127,50F35FE7,108,0,【第八章】 絆 中,0,[Chapter 8] Bond II,0,【第八章】 牽絆 中
128,511F08ED,24,0,【第壱章】 偽りの再会 後,0,[Chapter 1] False Reunion II,0,【第壹章】 虛偽的再會 後
129,5149200D,37,0,【第弐章】 クオンの秘薬,0,[Chapter 2] Kuon's Secret Remedy,0,【第貳章】 久遠的祕藥
130,5153CB32,278,64,【第弐章】 シノノンのお出かけ 前編 後,64,[Chapter 2] Shinonon's Excursion I - 3,64,【第貳章】 詩諾農出門 前篇 後
131,52358D55,34,0,【第弐章】 紅白試合 前,0,[Chapter 2] Mock Battle: Red vs White I,0,【第貳章】 紅白比試 前
132,52D71F5C,301,41,【第七章】 クジュウリの強者 後,41,[Chapter 7] Kujyuri's Mightiest II,41,【第七章】 九重里的強者 後
133,5315756B,289,53,【第四章】 凸凹の流れ者 後編 後,53,[Chapter 4] The Rugged Wanderers II - 2,53,【第肆章】 參差不齊的流浪者 後篇 後
134,53EB6933,117,0,【第九章】 逆襲のトキフサ,0,[Chapter 9] Tokifusa Strikes Back,0,【第九章】 時櫻的反擊
135,541CDDB7,332,10,【最終章】 ムネチカの武者修行 後編 後,10,[Final Chapter] Munechika's Training Journey III - 3,10,【最終章】 宗近的武士修行 後篇 後
136,5462FE33,250,0,【第拾八章】 最後の解放 後-1 ［ビジュアルシネマ］,0,[Chapter 18] Final Release III - 1 [Cinematic],0,【第拾八章】 最後的解放 後-1 ［視覺影片］
137,565A63EE,321,21,【第拾壱章】 皇子と皇子と姫 後,21,"[Chapter 11] The Prince, the Prince, and the Princess II",21,【第拾壹章】 皇子與皇子與公主 後
138,579809D9,311,31,【第八章】 長女襲来 後,31,[Chapter 8] Eldest Daughter Attack II,31,【第八章】 長女來襲 後
139,58E848E1,1,0,【第壱章】 想起す,0,[Chapter 1] Remembering,0,【第壹章】 憶起
140,5AE165D6,268,74,【第壱章】 近衛衆合流 中,74,[Chapter 1] Combining Forces II,74,【第壹章】 與近衛眾會合 中
141,5B56025E,235,0,【第拾四章】 禁断の力 後-2 ［ビジュアルシネマ］,0,[Chapter 14] Forbidden Power III - 2 [Cinematic],0,【第拾肆章】 禁忌之力 後-2 ［視覺影片］
142,5C1D4BA3,126,0,【第拾章】 嫁宣言,0,[Chapter 10] A Bride's Declaration,0,【第拾章】 妻子宣言
143,5D281334,14,0,【第壱章】 覚悟の在処 アトゥイ,0,[Chapter 1] Where Resolve Lies: Atuy,0,【第壹章】 覺悟的所在 阿圖依
144,5E426687,23,0,【第壱章】 偽りの再会 前,0,[Chapter 1] False Reunion I,0,【第壹章】 虛偽的再會 前
145,5FC425A0,61,0,【第伍章】 遅れた手紙,0,[Chapter 5] Belated Letter,0,【第伍章】 姍姍來遲的信件
146,607041B9,109,0,【第八章】 絆 後-1,0,[Chapter 8] Bond III - 1,0,【第八章】 牽絆 後-1
147,60E17DDE,303,39,【第七章】 ムネチカの武者修行 前編 後,39,[Chapter 7] Munechika's Training Journey I - 2,39,【第七章】 宗近的武士修行 前篇 後
148,612317E9,291,51,【第四章】 男衆の特訓 後,51,[Chapter 4] Men's Intensive Training II,51,【第肆章】 男人們的特訓 後
149,624579E7,142,0,【第拾壱章】 妄執の炎 後-3,0,[Chapter 11] Flames of Delusion III - 3,0,【第拾壹章】 執念火炎 後-3
150,627E9558,174,0,【第拾伍章】 ネコネの告白,0,[Chapter 15] Nekone's Confession,0,【第拾伍章】 貓音的告白
151,62A25933,344,0,【第拾壱章】 母よ 前,0,[Chapter 11] Mother I,0,【第拾壹章】 母親啊 前
152,6365A9B0,280,62,【第弐章】 旅の博徒 前編 後,62,[Chapter 2] The Traveling Gambler I - 2,62,【第貳章】 漂泊的賭徒 前篇 後
153,6411DBE7,148,0,【第拾弐章】 時代の趨勢,0,[Chapter 12] Trends of the Times,0,【第拾貳章】 時代的趨勢
154,6411F6C1,212,0,【第拾八章】 最後の解放 前-2,0,[Chapter 18] Final Release I - 2,0,【第拾八章】 最後的解放 前-2
155,646AECA2,87,0,【第七章】 アンジュの憂鬱,0,[Chapter 7] Anju's Melancholy,0,【第七章】 杏樹的憂鬱
156,646C016C,325,17,【第拾四章】 新しい政 後,17,[Chapter 14] New Administration II,17,【第拾肆章】 新的國政 後
157,6483585D,180,0,【第拾伍章】 オンカミヤムカイへ,0,[Chapter 15] To Onkamiyamukai,0,【第拾伍章】 前往歐卡米亞凱
158,64FB8105,209,0,【第拾八章】 願いの果て 後,0,[Chapter 17] End of a Wish III,0,【第拾七章】 願望的最後 後
159,65AE6B5B,313,29,【第九章】 氏族長誕生 後,29,[Chapter 9] Birth of a Chieftain II,29,【第九章】 族長誕生 後
160,662ABF35,335,7,【最終章】 皇子の漢磨き 後,7,[Final Chapter] A Prince's Journey to Manhood III,7,【最終章】 皇子的男子氣概訓練 後
161,6843B4CF,8,0,【第壱章】 覚悟の在処 双子,0,[Chapter 1] Where Resolve Lies: The Twins,0,【第壹章】 覺悟的所在 雙胞胎
162,68980C63,21,0,【第壱章】 心、ここに在らず 前,0,[Chapter 1] An Absent Heart I,0,【第壹章】 心不在焉 前
163,68BB92FB,106,0,【第八章】 絆 前-1,0,[Chapter 8] Bond I - 1,0,【第八章】 牽絆 前-1
164,68D70754,272,70,【第壱章】 アトゥイの鬼訓練 中,70,[Chapter 1] Atuy's Relentless Training II,70,【第壹章】 阿圖依的魔鬼訓練 中
165,6950D2BA,139,0,【第拾壱章】 妄執の炎 中,0,[Chapter 11] Flames of Delusion II,0,【第拾壹章】 執念火炎 中
166,6A08EC88,161,0,【第拾参章】 決戦の帝都 中-1,0,[Chapter 13] Imperial Capital Showdown II - 1,0,【第拾參章】 帝都決戰 中-1
167,6AB5461A,171,0,【第拾四章】 叙任、そして ［モノローグ］,0,[Chapter 14] Ceremony of Honors and What Follows [Monologue],0,【第拾肆章】 敘任，以及…… ［獨白］
168,6B53D33A,295,47,【第六章】 復興、ルモイの関 中,47,[Chapter 6] Restoring Rumoy Pass II,47,【第六章】 復興魯摩伊關卡 中
169,6C25F9A9,213,0,【第拾八章】 最後の解放-2,0,[Chapter 18] Final Release - 2,0,【第拾八章】 最後的解放-2
170,6CFFD35D,101,0,【第七章】 決意の戦い 前,0,[Chapter 7] Resolute Battle I,0,【第七章】 決意之戰 前
171,6D1F678D,36,0,【第弐章】 謎の行商人 ［モノローグ］,0,[Chapter 2] The Mysterious Traveling Salesman [Monologue],0,【第貳章】 神祕的行商人 ［獨白］
172,705DED03,232,0,【第壱章】 戻れぬ想い 前-2 ［ビジュアルシネマ］,0,[Chapter 1] Irretrievable Memories I - 2 [Cinematic],0,【第壹章】 無處可歸的念想 前-2 ［視覺影片］
173,7106052D,200,0,【第拾六章】 目覚めの地にて-2,0,[Chapter 16] In the Land of Awakening II,0,【第拾六章】 於覺醒之地-2
174,738B0126,120,0,【第九章】 背水の陣 前,0,[Chapter 9] No Way Out I,0,【第九章】 背水一戰 前
175,753E6DA4,143,0,【第拾壱章】 復興の誓い,0,[Chapter 11] Vow to Rebuild,0,【第拾壹章】 復興的誓言
176,759A05EF,38,0,【第弐章】 傍迷惑天使,0,[Chapter 2] Bothersome Angel,0,【第貳章】 添麻煩的天使
177,75DB38E8,13,0,【第壱章】 覚悟の在処 ノスリ,0,[Chapter 1] Where Resolve Lies: Nosuri,0,【第壹章】 覺悟的所在 鵟
178,76750C1E,173,0,【第拾伍章】 生きていた帝,0,"[Chapter 15] The Mikado, Alive and Well",0,【第拾伍章】 存活的帝
179,7716D2A0,80,0,【第六章】 香りの由来,0,[Chapter 6] Origin of a Scent,0,【第六章】 香氣的來源
180,771C35EC,169,0,【第拾四章】 禁断の力 後-1,0,[Chapter 14] Forbidden Power III - 1,0,【第拾肆章】 禁忌之力 後-1
181,783826A8,290,52,【第四章】 男衆の特訓 前,52,[Chapter 4] Men's Intensive Training I,52,【第肆章】 男人們的特訓 前
182,78D5ADE5,28,0,【第壱章】 掃除の意味,0,[Chapter 1] What it Means to Clean,0,【第壹章】 打掃的意義
183,79FA4C9F,302,40,【第七章】 ムネチカの武者修行 前編 前,40,[Chapter 7] Munechika's Training Journey I - 1,40,【第七章】 宗近的武士修行 前篇 前
