jp,en,kr
【第六章】 復興、ルモイの関 前,[Chapter 6] Restoring Rumoy Pass I,"【제6장】 부흥, 루모이 관문 전"
【第九章】 ノスリとゲンホウ,[Chapter 9] Nosuri and Genho,【제9장】 노스리와 겐호
【第九章】 策動の森 前,[Chapter 9] Forest of Schemes I,【제9장】 책동의 숲 전
【第八章】 皇子と少女 前,[Chapter 8] The Prince and the Girl I,【제8장】 황자와 소녀 전
【最終章】 二人の白皇 ［モノローグ］,[Final Chapter] Mask of Truth [Monologue],【최종장】 두 사람의 백황 [모노로그]
【第参章】 ノスリ一派合流 前,[Chapter 3] Nosuri Thieves Union I,【제3장】 노스리 일파 합류 전
【第壱章】 アトゥイの鬼訓練 前,[Chapter 1] Atuy's Relentless Training I,【제1장】 아투이의 귀신 훈련 전
【第九章】 ノスリたれ,[Chapter 9] Foolish Nosuri,【제9장】 노스리답게
【第伍章】 トゥスクルよりの使者 ［モノローグ］,[Chapter 5] The Messenger from Tuskur [Monologue],【제5장】 투스쿨에서 온 사자 [모노로그]
【最終章】 神話の始まり 後-2,[Final Chapter] The Beginning of a Myth II - 2,【최종장】 신화의 시작 후-2
【第四章】 対なるもの 前-2 ［ビジュアルシネマ］,[Chapter 4] Mirror Opposites I - 2 [Cinematic],【제4장】 한쌍인 것 전-2 [비주얼 시네마]
【第拾七章】 深淵より来る声 前-2,[Chapter 17] Voice from the Abyss I - 2,【제17장】 심연에서 들려오는 목소리 전-2
【第壱章】 義賊の矜持 後,[Chapter 1] Pride of a Gentleman Thief II,【제1장】 의적의 긍지 후
【第壱章】 美味しい毒味,[Chapter 1] The Delicious Taste of Poison,【제1장】 맛있는 독맛보기
スタッフロール・真,Ending Credits: True,스태프 롤·진
【第四章】 ノスリの氏族,[Chapter 4] Nosuri's Clan,【제4장】 노스리의 씨족
【第九章】 オシュトルの剣 後編 前,[Chapter 9] The Blade of Oshtor III - 1,【제9장】 오슈토르의 검 후편 전
【最終章】 帝の世直し旅 前編 前,[Final Chapter] The Mikado's Quest to Restore the Kingdom I - 1,【최종장】 황제의 세상 바로잡기 여행 전편 전
【第拾壱章】 エンナカムイ大演習 前,[Chapter 11] Ennakamuy War Games I,【제11장】 엔나카무이 대연습 전
【第拾四章】 旅の博徒 後編 前,[Chapter 14] The Traveling Gambler II - 1,【제14장】 떠돌이 도박꾼 후편 전
天火の采配師 後,Tactician of Heavenly Fire II,천화의 지휘자 후
【第参章】 ノスリの弓兵部隊 前,[Chapter 3] Nosuri's Archer Squad I,【제3장】 노스리 궁병 부대 전
【第七章】 マロロを覆う影,[Chapter 7] The Shadow Over Maroro,【제7장】 마로로를 뒤덮는 그림자
【第四章】 エンナカムイ侵攻 ［モノローグ］,[Chapter 4] Ennakamuy Invasion [Monologue],【제4장】 엔나카무이 침공 [모노로그]
【第壱章】 アトゥイ、退屈する,[Chapter 1] Atuy is Bored,"【제1장】 아투이, 심심해하다"
【第壱章】 近衛衆合流 前,[Chapter 1] Combining Forces I,【제1장】 근위대 합류 전
【第伍章】 月夜の喧嘩 前,[Chapter 5] The Moonlight Fight I,【제5장】 달밤의 싸움 전
【第七章】 シノノンのお出かけ 中編 前,[Chapter 7] Shinonon's Excursion II - 1,【제7장】 시노논의 외출 중편 전
【第九章】 氏族長の証 ［モノローグ］,[Chapter 9] Proof of Clan Leadership [Monologue],【제9장】 씨족장의 증표 [모노로그]
【最終章】 神話の始まり 後-5 ［ビジュアルシネマ］,[Final Chapter] The Beginning of a Myth II - 5 [Cinematic],【최종장】 신화의 시작 후-5 [비주얼 시네마]
【最終章】 帝の世直し旅 前編 後,[Final Chapter] The Mikado's Quest to Restore the Kingdom I - 2,【최종장】 황제의 세상 바로잡기 여행 전편 후
【第拾伍章】 叡智への扉-1,[Chapter 15] Door to Wisdom I,【제15장】 예지로 향하는 문-1
【第九章】 オシュトルの剣 後編 後,[Chapter 9] The Blade of Oshtor III - 2,【제9장】 오슈토르의 검 후편 후
【第拾四章】 旅の博徒 後編 後,[Chapter 14] The Traveling Gambler II - 2,【제14장】 떠돌이 도박꾼 후편 후
黒き皇女 前,The Dark Princess I,검은 황녀 전
【第六章】 アンジュ出陣 中,[Chapter 6] Anju Goes Into Battle II,【제6장】 안쥬 출진 중
【第拾壱章】 エンナカムイ大演習 後,[Chapter 11] Ennakamuy War Games II,【제11장】 엔나카무이 대연습 후
【第壱章】 仕立てと追想,[Chapter 1] Prep and Reminiscence,【제1장】 재단과 추상
【第拾壱章】 妄執の炎 前-1,[Chapter 11] Flames of Delusion I - 1,【제11장】 망집의 불꽃 전-1
【第壱章】 近衛衆合流 後-2,[Chapter 1] Combining Forces III - 2,【제1장】 근위대 합류 후-2
【第参章】 ノスリの弓兵部隊 後,[Chapter 3] Nosuri's Archer Squad II,【제3장】 노스리 궁병 부대 후
【第拾弐章】 豪敵、再び ［モノローグ］,[Chapter 12] Return of a Fierce Adversary [Monologue],"【제12장】 강적, 다시 [모노로그]"
【第九章】 策動の森 後-1,[Chapter 9] Forest of Schemes II - 1,【제9장】 책동의 숲 후-1
【第七章】 シノノンのお出かけ 中編 後,[Chapter 7] Shinonon's Excursion II - 2,【제7장】 시노논의 외출 중편 후
【第伍章】 月夜の喧嘩 後,[Chapter 5] The Moonlight Fight II,【제5장】 달밤의 싸움 후
【第七章】 シスの想い ［モノローグ］,[Chapter 7] Shis' Feelings [Monologue],【제7장】 시스의 마음 [모노로그]
【第弐章】 シノノンのお出かけ 前編 中,[Chapter 2] Shinonon's Excursion I - 2,【제2장】 시노논의 외출 전편 중
【第拾伍章】 聖地からの使者,[Chapter 15] Messenger from Sacred Land,【제15장】 성지에서 온 사자
【第拾参章】 決戦の帝都 中-3,[Chapter 13] Imperial Capital Showdown II - 3,【제13장】 결전의 제도 중-3
【第四章】 決別 前,[Chapter 4] Farewell I,【제4장】 결별 전
【第拾弐章】 月夜の密航者,[Chapter 12] Moonlight Stowaway,【제12장】 달밤의 밀항자
【第拾弐章】 豪雄激突 中 ［ビジュアルシネマ］,[Chapter 12] Clash of Titans II [Cinematic],【제12장】 호걸 격돌 중 [비주얼 시네마]
【第拾八章】 大封印 後,[Chapter 18] Ohn Riyaak II,【제18장】 대봉인 후
【第九章】 イズルハへ,[Chapter 9] To Izuruha,【제9장】 이즈루하로
【最終章】 ムネチカの武者修行 後編 中,[Final Chapter] Munechika's Training Journey III - 2,【최종장】 무네치카의 무자수행 후편 중
【第拾章】 強襲 後-3,[Chapter 10] Assault III - 3,【제10장】 강습 후-3
【第壱章】 心、ここに在らず 後,[Chapter 1] An Absent Heart II,【제1장】 마음이 여기에 있지 않다 후
【第壱章】 エンナカムイ周辺の偵察 中,[Chapter 1] Ennakamuy Area Recon II,【제1장】 엔나카무이 주변 정찰 중
【第八章】 絆 前-2,[Chapter 8] Bond I - 2,【제8장】 유대 전-2
【最終章】 不滅の友情 顕現する者,[Final Chapter] Manifestor of Eternal Bonds,【최종장】 불멸의 우정 현현하는 자
【第壱章】 ネコネの慟哭 弐,[Chapter 1] Nekone's Cry II,【제1장】 네코네의 통곡 둘
【第七章】 ルルティエの決意 ［モノローグ］,[Chapter 7] Rulutieh's Determination [Monologue],【제7장】 루루티에의 결의 [모노로그]
【第拾弐章】 死中に活あり,[Chapter 12] Life in the Face of Death,【제12장】 사중에 활로가 있다
【第壱章】 戻れぬ想い 前-1,[Chapter 1] Irretrievable Memories I - 1,【제1장】 돌아갈 수 없는 마음 전-1
【第拾伍章】 封印の扉 ［モノローグ］,[Chapter 15] Sealed Door [Monologue],【제15장】 봉인의 문 [모노로그]
【第拾弐章】 決戦前夜,[Chapter 12] The Eve of the Fight,【제12장】 결전 전야
【第拾八章】 大封印 前-1,[Chapter 18] Ohn Riyaak I - 1,【제18장】 대봉인 전-1
【第拾章】 奥義披露？,[Chapter 10] Okugi Revealed?,【제10장】 오의 시연?
【最終章】 神話の始まり 後-4 ［ビジュアルシネマ］,[Final Chapter] The Beginning of a Myth II - 4 [Cinematic],【최종장】 신화의 시작 후-4 [비주얼 시네마]
【第拾伍章】 叡智への扉-2,[Chapter 15] Door to Wisdom II,【제15장】 예지로 향하는 문-2
【第拾弐章】 復讐は終わらず 前-2,[Chapter 12] Endless Revenge I - 2,【제12장】 복수는 끝나지 않는다 전-2
【第伍章】 トゥスクルよりの使者,[Chapter 5] The Messenger from Tuskur,【제5장】 투스쿨에서 온 사자
【第弐章】 シノノンのお出かけ 前編 前,[Chapter 2] Shinonon's Excursion I - 1,【제2장】 시노논의 외출 전편 전
【第壱章】 エンナカムイ周辺の偵察 前,[Chapter 1] Ennakamuy Area Recon I,【제1장】 엔나카무이 주변 정찰 전
【第拾伍章】 詭計突破 前,[Chapter 15] Tearing Through a Tangled Web I,【제15장】 궤계 돌파 전
【最終章】 ウィツァルネミテアの娘-1,[Final Chapter] Daughter of Uitsualnemetia - 1,【최종장】 위차르네미테아의 딸-1
【最終章】 大封印（オン・リィヤーク） ［ビジュアルシネマ］,[Final Chapter] Ohn Riyaak [Cinematic],【최종장】 대봉인(온·리이야크) [비주얼 시네마]
【第壱章】 オープニング ［ビジュアルシネマ］,[Chapter 1] Opening [Cinematic],【제1장】 오프닝 [비주얼 시네마]
【第拾伍章】 鍵,[Chapter 15] The Key,【제15장】 열쇠
【第四章】 凸凹の流れ者 後編 前,[Chapter 4] The Rugged Wanderers II - 1,【제4장】 울퉁불퉁한 떠돌이 후편 전
【第拾伍章】 役目の終わり,[Chapter 15] A Role Fulfilled,【제15장】 임무의 끝
【第四章】 対なるもの ［モノローグ］,[Chapter 4] Mirror Opposites [Monologue],【제4장】 한쌍인 것 [모노로그]
【第拾参章】 決戦の帝都 前 ［モノローグ］,[Chapter 13] Imperial Capital Showdown I [Monologue],【제13장】 결전의 제도 전 [모노로그]
【第六章】 風呂にかける情熱 壱,[Chapter 6] Bathhouse Passion I,【제6장】 목욕에 거는 열정 1
【第七章】 クジュウリの強者 前,[Chapter 7] Kujyuri's Mightiest I,【제7장】 쿠쥬우리의 강자 전
【第参章】 オシュトルの剣 前編,[Chapter 3] The Blade of Oshtor I,【제3장】 오슈토르의 검 전편
【最終章】 ムネチカの武者修行 後編 前,[Final Chapter] Munechika's Training Journey III - 1,【최종장】 무네치카의 무자수행 후편 전
【第拾弐章】 豪敵、再び 後,[Chapter 12] Return of a Fierce Adversary II,"【제12장】 강적, 다시 후"
【第拾弐章】 復讐は終わらず 後,[Chapter 12] Endless Revenge II,【제12장】 복수는 끝나지 않는다 후
【最終章】 その日を信じて,[Final Chapter] Believe in that Day,【최종장】 그날을 믿으며
【第八章】 長女襲来 前,[Chapter 8] Eldest Daughter Attack I,【제8장】 장녀 습격 전
【第拾伍章】 トゥスクル見物,[Chapter 15] Tuskur Sightseeing,【제15장】 투스쿨 구경
【第四章】 ルルティエの戦場,[Chapter 4] Rulutieh's Battlefield,【제4장】 루루티에의 전장
【第拾壱章】 皇子と皇子と姫 前,"[Chapter 11] The Prince, the Prince, and the Princess I",【제11장】 황자와 황자와 공주 전
【第拾伍章】 人を継ぐ者 前,[Chapter 15] Heir to Humanity I,【제15장】 사람을 잇는 자 전
【第拾弐章】 クオン、風邪を引いた日,[Chapter 12] The Day Kuon Catches a Cold,"【제12장】 쿠온, 감기에 걸린 날"
【第壱章】 エンナカムイ周辺の偵察 後,[Chapter 1] Ennakamuy Area Recon III,【제1장】 엔나카무이 주변 정찰 후
【第八章】 絆 中,[Chapter 8] Bond II,【제8장】 유대 중
【第壱章】 偽りの再会 後,[Chapter 1] False Reunion II,【제1장】 거짓 재회 후
【第弐章】 クオンの秘薬,[Chapter 2] Kuon's Secret Remedy,【제2장】 쿠온의 비약
【第弐章】 シノノンのお出かけ 前編 後,[Chapter 2] Shinonon's Excursion I - 3,【제2장】 시노논의 외출 전편 후
【第弐章】 紅白試合 前,[Chapter 2] Mock Battle: Red vs White I,【제2장】 홍백 시합 전
【第七章】 クジュウリの強者 後,[Chapter 7] Kujyuri's Mightiest II,【제7장】 쿠쥬우리의 강자 후
【第四章】 凸凹の流れ者 後編 後,[Chapter 4] The Rugged Wanderers II - 2,【제4장】 울퉁불퉁한 떠돌이 후편 후
【第九章】 逆襲のトキフサ,[Chapter 9] Tokifusa Strikes Back,【제9장】 역습의 토키후사
【最終章】 ムネチカの武者修行 後編 後,[Final Chapter] Munechika's Training Journey III - 3,【최종장】 무네치카의 무자수행 후편 후
【第拾八章】 最後の解放 後-1 ［ビジュアルシネマ］,[Chapter 18] Final Release III - 1 [Cinematic],【제18장】 마지막 해방 후-1 [비주얼 시네마]
【第拾壱章】 皇子と皇子と姫 後,"[Chapter 11] The Prince, the Prince, and the Princess II",【제11장】 황자와 황자와 공주 후
【第八章】 長女襲来 後,[Chapter 8] Eldest Daughter Attack II,【제8장】 장녀 습격 후
【第壱章】 想起す,[Chapter 1] Remembering,【제1장】 떠올리다
【第壱章】 近衛衆合流 中,[Chapter 1] Combining Forces II,【제1장】 근위대 합류 중
【第拾四章】 禁断の力 後-2 ［ビジュアルシネマ］,[Chapter 14] Forbidden Power III - 2 [Cinematic],【제14장】 금단의 힘 후-2 [비주얼 시네마]
【第拾章】 嫁宣言,[Chapter 10] A Bride's Declaration,【제10장】 신부 선언
【第壱章】 覚悟の在処 アトゥイ,[Chapter 1] Where Resolve Lies: Atuy,【제1장】 각오의 자리 아투이
【第壱章】 偽りの再会 前,[Chapter 1] False Reunion I,【제1장】 거짓 재회 전
【第伍章】 遅れた手紙,[Chapter 5] Belated Letter,【제5장】 늦어진 편지
【第八章】 絆 後-1,[Chapter 8] Bond III - 1,【제8장】 유대 후-1
【第七章】 ムネチカの武者修行 前編 後,[Chapter 7] Munechika's Training Journey I - 2,【제7장】 무네치카의 무자수행 전편 후
【第四章】 男衆の特訓 後,[Chapter 4] Men's Intensive Training II,【제4장】 사내들의 특훈 후
【第拾壱章】 妄執の炎 後-3,[Chapter 11] Flames of Delusion III - 3,【제11장】 망집의 불꽃 후-3
【第拾伍章】 ネコネの告白,[Chapter 15] Nekone's Confession,【제15장】 네코네의 고백
【第拾壱章】 母よ 前,[Chapter 11] Mother I,【제11장】 어머니여 전
【第弐章】 旅の博徒 前編 後,[Chapter 2] The Traveling Gambler I - 2,【제2장】 떠돌이 도박꾼 전편 후
【第拾弐章】 時代の趨勢,[Chapter 12] Trends of the Times,【제12장】 시대의 흐름
【第拾八章】 最後の解放 前-2,[Chapter 18] Final Release I - 2,【제18장】 마지막 해방 전-2
【第七章】 アンジュの憂鬱,[Chapter 7] Anju's Melancholy,【제7장】 안쥬의 우울
【第拾四章】 新しい政 後,[Chapter 14] New Administration II,【제14장】 새로운 정치 후
【第拾伍章】 オンカミヤムカイへ,[Chapter 15] To Onkamiyamukai,【제15장】 온카미야무카이로
【第拾八章】 願いの果て 後,[Chapter 17] End of a Wish III,【제18장】 소원의 끝 후
【第九章】 氏族長誕生 後,[Chapter 9] Birth of a Chieftain II,【제9장】 씨족장 탄생 후
【最終章】 皇子の漢磨き 後,[Final Chapter] A Prince's Journey to Manhood III,【최종장】 황자의 사내다움 갈고닦기 후
【第壱章】 覚悟の在処 双子,[Chapter 1] Where Resolve Lies: The Twins,【제1장】 각오의 자리 쌍둥이
【第壱章】 心、ここに在らず 前,[Chapter 1] An Absent Heart I,【제1장】 마음이 여기에 있지 않다 전
【第八章】 絆 前-1,[Chapter 8] Bond I - 1,【제8장】 유대 전-1
【第壱章】 アトゥイの鬼訓練 中,[Chapter 1] Atuy's Relentless Training II,【제1장】 아투이의 귀신 훈련 중
【第拾壱章】 妄執の炎 中,[Chapter 11] Flames of Delusion II,【제11장】 망집의 불꽃 중
【第拾参章】 決戦の帝都 中-1,[Chapter 13] Imperial Capital Showdown II - 1,【제13장】 결전의 제도 중-1
【第拾四章】 叙任、そして ［モノローグ］,[Chapter 14] Ceremony of Honors and What Follows [Monologue],"【제14장】 서임, 그리고 [모노로그]"
【第六章】 復興、ルモイの関 中,[Chapter 6] Restoring Rumoy Pass II,"【제6장】 부흥, 루모이 관문 중"
【第拾八章】 最後の解放-2,[Chapter 18] Final Release - 2,【제18장】 마지막 해방-2
【第七章】 決意の戦い 前,[Chapter 7] Resolute Battle I,【제7장】 결의의 싸움 전
【第弐章】 謎の行商人 ［モノローグ］,[Chapter 2] The Mysterious Traveling Salesman [Monologue],【제2장】 수상한 행상인 [모노로그]
【第壱章】 戻れぬ想い 前-2 ［ビジュアルシネマ］,[Chapter 1] Irretrievable Memories I - 2 [Cinematic],【제1장】 돌아갈 수 없는 마음 전-2 [비주얼 시네마]
【第拾六章】 目覚めの地にて-2,[Chapter 16] In the Land of Awakening II,【제16장】 깨어남의 땅에서-2
【第九章】 背水の陣 前,[Chapter 9] No Way Out I,【제9장】 배수의 진 전
【第拾壱章】 復興の誓い,[Chapter 11] Vow to Rebuild,【제11장】 부흥의 맹세
【第弐章】 傍迷惑天使,[Chapter 2] Bothersome Angel,【제2장】 민폐 천사
【第壱章】 覚悟の在処 ノスリ,[Chapter 1] Where Resolve Lies: Nosuri,【제1장】 각오의 자리 노스리
【第拾伍章】 生きていた帝,"[Chapter 15] The Mikado, Alive and Well",【제15장】 살아있던 황제
【第六章】 香りの由来,[Chapter 6] Origin of a Scent,【제6장】 향기의 유래
【第拾四章】 禁断の力 後-1,[Chapter 14] Forbidden Power III - 1,【제14장】 금단의 힘 후-1
【第四章】 男衆の特訓 前,[Chapter 4] Men's Intensive Training I,【제4장】 사내들의 특훈 전
【第壱章】 掃除の意味,[Chapter 1] What it Means to Clean,【제1장】 청소의 의미
【第七章】 ムネチカの武者修行 前編 前,[Chapter 7] Munechika's Training Journey I - 1,【제7장】 무네치카의 무자수행 전편 전
【第弐章】 旅の博徒 前編 前,[Chapter 2] The Traveling Gambler I - 1,【제2장】 떠돌이 도박꾼 전편 전
【第参章】 親孝行,[Chapter 3] Filial Piety,【제3장】 효도
【第拾章】 強襲 後,[Chapter 10] Assault III,【제10장】 강습 후
【第四章】 対なるもの 後,[Chapter 4] Mirror Opposites III,【제4장】 한쌍인 것 후
【第九章】 氏族長誕生 前,[Chapter 9] Birth of a Chieftain I,【제9장】 씨족장 탄생 전
【第弐章】 紅白試合 後,[Chapter 2] Mock Battle: Red vs White II,【제2장】 홍백 시합 후
【第拾四章】 新しい政 前,[Chapter 14] New Administration I,【제14장】 새로운 정치 전
【第七章】 皇女と大剣,[Chapter 7] The Princess and the Greatsword,【제7장】 황녀와 대검
【第伍章】 皇女と慈母,[Chapter 5] The Princess and the Affectionate Mother,【제5장】 황녀와 자애로운 어머니
【第六章】 オシュトルの剣 中編,[Chapter 6] The Blade of Oshtor II,【제6장】 오슈토르의 검 중편
【最終章】 皇子の漢磨き 前,[Final Chapter] A Prince's Journey to Manhood I,【최종장】 황자의 사내다움 갈고닦기 전
【第壱章】 見知らぬ母,[Chapter 1] Unfamiliar Mother,【제1장】 낯선 어머니
【第四章】 凸凹の流れ者 前編 前,[Chapter 4] The Rugged Wanderers I - 1,【제4장】 울퉁불퉁한 떠돌이 전편 전
【第伍章】 亡國の縁 後,[Chapter 5] Fate of a Fallen Nation II,【제5장】 망국의 인연 후
【第弐章】 紅白試合感想戦 前,[Chapter 2] Mock Battle Analysis I,【제2장】 홍백 시합 감상전 전
【第壱章】 見知らぬ母,[Chapter 1] Unfamiliar Mother,【제1장】 낯선 어머니
【第六章】 さるかに合戦 前,[Chapter 6] The Monkey and the Crab I,【제6장】 원숭이와 게의 싸움 전
【第八章】 漢の意地 前,[Chapter 8] A Man's Pride I,【제8장】 사내의 고집 전
【最終章】 神話の始まり 前-1,[Final Chapter] The Beginning of a Myth I - 1,【최종장】 신화의 시작 전-1
【最終章】 神話の始まり 後-1,[Final Chapter] The Beginning of a Myth II - 1,【최종장】 신화의 시작 후-1
【最終章】 帝の世直し旅 後編 前,[Final Chapter] The Mikado's Quest to Restore the Kingdom III - 1,【최종장】 황제의 세상 바로잡기 여행 후편 전
【第壱章】 ネコネの慟哭 壱,[Chapter 1] Nekone's Cry I,【제1장】 네코네의 통곡 하나
【第九章】 ムネチカの武者修行 中編 前,[Chapter 9] Munechika's Training Journey II - 1,【제9장】 무네치카의 무자수행 중편 전
【第壱章】 母を背負いて,[Chapter 1] Carrying Mother,【제1장】 어머니를 업고
【最終章】 婦女子、心の旅 前,[Final Chapter] The Journey of a Woman's Heart I,"【최종장】 여인들, 마음의 여행 전"
修羅の大弓 後,Savage Greatbow II,수라의 대궁 후
【第拾八章】 最後の解放 前-1 ［モノローグ］,[Chapter 18] Final Release I - 1 [Monologue],【제18장】 마지막 해방 전-1 [모노로그]
【最終章】 ウィツァルネミテアの娘-2 ［ビジュアルシネマ］,[Final Chapter] Daughter of Uitsualnemetia - 2 [Cinematic],【최종장】 위차르네미테아의 딸-2 [비주얼 시네마]
【最終章】 悪夢の終わり,[Final Chapter] End of a Nightmare,【최종장】 악몽의 끝
託されしもの 中-1 ［ビジュアルシネマ］,What Was Entrusted II - 1 [Cinematic],맡겨진 것 중-1 [비주얼 시네마]
【第拾章】 強襲 中,[Chapter 10] Assault II,【제10장】 강습 중
【第参章】 布告の波紋 ［モノローグ］,[Chapter 3] Ripples of the Proclamation [Monologue],【제3장】 포고의 파문 [모노로그]
【第伍章】 クオンの帰還 ［モノローグ］,[Chapter 5] Kuon's Return [Monologue],【제5장】 쿠온의 귀환 [모노로그]
【第壱章】 前途多難,[Chapter 1] Rough Road Ahead,【제1장】 앞날이 험난
【第拾四章】 禁断の力 前,[Chapter 14] Forbidden Power I,【제14장】 금단의 힘 전
【第拾伍章】 もうひとりの後継者 ［モノローグ］,[Chapter 15] Another Successor [Monologue],【제15장】 또 한 명의 후계자 [모노로그]
【第壱章】 偽の皇女,[Chapter 1] The False Princess,【제1장】 가짜 황녀
【第六章】 ネコネとクオン,[Chapter 6] Nekone and Kuon,【제6장】 네코네와 쿠온
【第八章】 認めたくない想い,[Chapter 8] Feelings I'd Rather Avoid,【제8장】 인정하고 싶지 않은 마음
【第七章】 クオンの薬箱,[Chapter 7] Kuon's Medicine Box,【제7장】 쿠온의 약상자
【第拾章】 朝廷軍の出陣,[Chapter 10] The Imperial Army's Deployment,【제10장】 조정군 출진
【第壱章】 これまで ［モノローグ］,[Chapter 1] Until Now [Monologue],【제1장】 지금까지 [모노로그]
【第九章】 背水の陣 後-2 ［ビジュアルシネマ］,[Chapter 9] No Way Out II - 2 [Cinematic],【제9장】 배수의 진 후-2 [비주얼 시네마]
【第拾七章】 砕かれた真実 ［モノローグ］,[Chapter 17] Shattered Truth [Monologue],【제17장】 부서진 진실 [모노로그]
【第拾弐章】 豪雄激突 前,[Chapter 12] Clash of Titans I,【제12장】 호걸 격돌 전
【第壱章】 近衛衆の危機,[Chapter 1] Crisis of the Elites,【제1장】 근위대의 위기
【第七章】 決意の戦い 後,[Chapter 7] Resolute Battle II,【제7장】 결의의 싸움 후
【第拾弐章】 豪雄激突 後-1,[Chapter 12] Clash of Titans II - 1,【제12장】 호걸 격돌 후-1
【第六章】 アトゥイの気遣い,[Chapter 6] Atuy's Thoughtfulness,【제6장】 아투이의 배려
【第拾七章】 願いの果て-2,[Chapter 17] End of a Wish - 2,【제17장】 소원의 끝-2
【第拾壱章】 妄執の炎 後-2 ［モノローグ］,[Chapter 11] Flames of Delusion III - 2 [Monologue],【제11장】 망집의 불꽃 후-2 [모노로그]
【第弐章】 紅白試合感想戦 後,[Chapter 2] Mock Battle Analysis II,【제2장】 홍백 시합 감상전 후
【第四章】 凸凹の流れ者 前編 後,[Chapter 4] The Rugged Wanderers I - 2,【제4장】 울퉁불퉁한 떠돌이 전편 후
【第八章】 絆 後-2,[Chapter 8] Bond III - 2,【제8장】 유대 후-2
【第八章】 漢の意地 後,[Chapter 8] A Man's Pride II,【제8장】 사내의 고집 후
【第伍章】 竜虎相打つ-2 ［ビジュアルシネマ］,[Chapter 5] Dragon and Tiger Collide - 2 [Cinematic],【제5장】 용호상박-2 [비주얼 시네마]
【第伍章】 覇道皇女 ［モノローグ］,[Chapter 5] The Princess of Ambition [Monologue],【제5장】 패도 황녀 [모노로그]
