group_key,is_rep,priority,group_size,jp_type,section,index,id_hex,slot,ja,ja_tpl,locks
、こちらでは呪法って言われてるかな。,1,78,2,normal,0,6,E449116C,text1,\x82、こちらでは呪法って言われてるかな。,{{L000}}、こちらでは呪法って言われてるかな。,"[""\\x82""]"
、こちらでは呪法って言われてるかな。,0,78,2,normal,0,6,E449116C,text2,\x82、こちらでは呪法って言われてるかな。,{{L000}}、こちらでは呪法って言われてるかな。,"[""\\x82""]"
法？,1,67,1,kanji_term,0,8,A981B067,text3,\x91\xAA法？,{{L000}}{{L001}}法？,"[""\\x91"", ""\\xAA""]"
、想念を力に変えるの。 比較的、弱くて根暗な人に向いてるかな。,1,100,1,normal,0,8,A981B067,text4,"\x81\xB3、想念を力に変えるの。
比較的、弱くて根暗な人に向いてるかな。","{{L000}}{{L001}}、想念を力に変えるの。
比較的、弱くて根暗な人に向いてるかな。","[""\\x81"", ""\\xB3""]"
の。 比較的、弱くて根暗な人に向いてるかな。,1,82,2,normal,0,9,8BBEC6F7,text1,"\x8Bの。
比較的、弱くて根暗な人に向いてるかな。","{{L000}}の。
比較的、弱くて根暗な人に向いてるかな。","[""\\x8B""]"
の。 比較的、弱くて根暗な人に向いてるかな。,0,82,2,normal,0,9,8BBEC6F7,text2,"\x8Bの。
比較的、弱くて根暗な人に向いてるかな。","{{L000}}の。
比較的、弱くて根暗な人に向いてるかな。","[""\\x8B""]"
おじゃるよ。,1,66,2,normal,0,10,96BBF64F,text1,\x81\xA7おじゃるよ。,{{L000}}{{L001}}おじゃるよ。,"[""\\x81"", ""\\xA7""]"
おじゃるよ。,0,66,2,normal,0,10,96BBF64F,text2,\x81\xA7おじゃるよ。,{{L000}}{{L001}}おじゃるよ。,"[""\\x81"", ""\\xA7""]"
てたが、この事か。 コイツがすることだからと聞き流してた。,1,99,1,normal,0,11,5A8AE1F3,text4,"\x81\xA3てたが、この事か。
コイツがすることだからと聞き流してた。","{{L000}}{{L001}}てたが、この事か。
コイツがすることだからと聞き流してた。","[""\\x81"", ""\\xA3""]"
，我沒有認真在聽。,1,84,2,kanji_term,0,14,7F1DA397,text3,\xBA\x8B，我沒有認真在聽。,{{L000}}{{L001}}，我沒有認真在聽。,"[""\\xBA"", ""\\x8B""]"
，我沒有認真在聽。,0,84,2,kanji_term,0,14,7F1DA397,text4,\x8B，我沒有認真在聽。,{{L000}}，我沒有認真在聽。,"[""\\x8B""]"
我沒有認真在聽。,1,53,2,kanji_term,0,15,2D482188,text1,\xBC\x8C我沒有認真在聽。,{{L000}}{{L001}}我沒有認真在聽。,"[""\\xBC"", ""\\x8C""]"
我沒有認真在聽。,0,53,2,kanji_term,0,15,2D482188,text2,\xBC\x8C我沒有認真在聽。,{{L000}}{{L001}}我沒有認真在聽。,"[""\\xBC"", ""\\x8C""]"
んなことより、呪法？,1,100,2,normal,0,17,FE65F9EB,text3,\x81\x9Dんなことより、呪法？,{{L000}}{{L001}}んなことより、呪法？,"[""\\x81"", ""\\x9D""]"
んなことより、呪法？,0,100,2,normal,0,17,FE65F9EB,text4,\x9Dんなことより、呪法？,{{L000}}んなことより、呪法？,"[""\\x9D""]"
なことより、呪法？,1,69,2,normal,0,18,E1F8DAFF,text1,\x82\x93なことより、呪法？,{{L000}}{{L001}}なことより、呪法？,"[""\\x82"", ""\\x93""]"
なことより、呪法？,0,69,2,normal,0,18,E1F8DAFF,text2,\x82\x93なことより、呪法？,{{L000}}{{L001}}なことより、呪法？,"[""\\x82"", ""\\x93""]"
さかそんな魔法みたいなことが出来るはずが……,1,82,2,normal,0,19,2AA4095A,text1,\x81\xBEさかそんな魔法みたいなことが出来るはずが……,{{L000}}{{L001}}さかそんな魔法みたいなことが出来るはずが……,"[""\\x81"", ""\\xBE""]"
さかそんな魔法みたいなことが出来るはずが……,0,82,2,normal,0,19,2AA4095A,text2,\x81\xBEさかそんな魔法みたいなことが出来るはずが……,{{L000}}{{L001}}さかそんな魔法みたいなことが出来るはずが……,"[""\\x81"", ""\\xBE""]"
ずが……,1,94,2,normal,0,19,2AA4095A,text3,\xAFずが……,{{L000}}ずが……,"[""\\xAF""]"
ずが……,0,94,2,normal,0,19,2AA4095A,text4,ずが……,ずが……,[]
が……,0,123,5,normal,0,20,D9AF58CE,text1,\x9Aが……,{{L000}}が……,"[""\\x9A""]"
が……,0,123,5,normal,0,20,D9AF58CE,text2,\x9Aが……,{{L000}}が……,"[""\\x9A""]"
が……,1,123,5,normal,3,141,990DBA99,text3,\x99が……,{{L000}}が……,"[""\\x99""]"
が……,0,123,5,normal,16,88,18F66A07,text1,が……,が……,[]
が……,0,123,5,normal,16,88,18F66A07,text2,が……,が……,[]
像魔法一樣的事……,1,74,1,kanji_term,0,20,D9AF58CE,text3,\xAE像魔法一樣的事……,{{L000}}像魔法一樣的事……,"[""\\xAE""]"
ょほぉんっ！！,1,87,1,normal,0,21,FCFDEA47,text3,ょほぉ#@－－#んっ！！,ょほぉ{{L000}}んっ！！,"[""#@－－#""]"
っ！！,1,73,1,normal,0,21,FCFDEA47,text4,\x82\x93っ！！,{{L000}}{{L001}}っ！！,"[""\\x82"", ""\\x93""]"
ゃ、よくやった！,1,78,1,normal,0,22,9467F9C5,text4,\x97ゃ、よくやった！,{{L000}}ゃ、よくやった！,"[""\\x97""]"
好！,1,47,2,kanji_term,0,23,B1354B4C,text1,好！,好！,[]
好！,0,47,2,kanji_term,0,23,B1354B4C,text2,好！,好！,[]
後は任せたでおじゃる。もうヘトヘトでおじゃるよ……,1,95,1,normal,0,23,B1354B4C,text4,\x80\x81後は任せたでおじゃる。もうヘトヘトでおじゃるよ……,{{L000}}{{L001}}後は任せたでおじゃる。もうヘトヘトでおじゃるよ……,"[""\\x80"", ""\\x81""]"
は任せたでおじゃる。もうヘトヘトでおじゃるよ……,1,84,2,normal,0,24,4063F999,text1,\x8Cは任せたでおじゃる。もうヘトヘトでおじゃるよ……,{{L000}}は任せたでおじゃる。もうヘトヘトでおじゃるよ……,"[""\\x8C""]"
は任せたでおじゃる。もうヘトヘトでおじゃるよ……,0,84,2,normal,0,24,4063F999,text2,\x8Cは任せたでおじゃる。もうヘトヘトでおじゃるよ……,{{L000}}は任せたでおじゃる。もうヘトヘトでおじゃるよ……,"[""\\x8C""]"
じゃる。もうヘトヘトでおじゃるよ……,1,98,1,normal,0,24,4063F999,text3,じゃる。もうヘトヘトでおじゃるよ……,じゃる。もうヘトヘトでおじゃるよ……,[]
ヘトヘトでおじゃるよ……,1,82,1,normal,0,24,4063F999,text4,\x81\x86ヘトヘトでおじゃるよ……,{{L000}}{{L001}}ヘトヘトでおじゃるよ……,"[""\\x81"", ""\\x86""]"
トでおじゃるよ……,1,69,2,normal,0,25,8B3F2A3C,text1,トでおじゃるよ……,トでおじゃるよ……,[]
トでおじゃるよ……,0,69,2,normal,0,25,8B3F2A3C,text2,トでおじゃるよ……,トでおじゃるよ……,[]
已經累到站不起來了是也……,1,63,1,kanji_sentence,0,25,8B3F2A3C,text3,\x82已經累到站不起來了是也……,{{L000}}已經累到站不起來了是也……,"[""\\x82""]"
……魔法だと……？,1,79,1,normal,0,26,3A17590B,text4,\x81\xAB……魔法だと……？,{{L000}}{{L001}}……魔法だと……？,"[""\\x81"", ""\\xAB""]"
真的是……魔法……？,1,40,2,kanji_sentence,0,27,F14B8AAE,text1,真的是……魔法……？,真的是……魔法……？,[]
真的是……魔法……？,0,40,2,kanji_sentence,0,27,F14B8AAE,text2,真的是……魔法……？,真的是……魔法……？,[]
ぞ！ 続けぇ！！,1,88,1,normal,0,27,F14B8AAE,text3,\x82\x8Bぞ！　続けぇ！！,{{L000}}{{L001}}ぞ！　続けぇ！！,"[""\\x82"", ""\\x8B""]"
哦！ 接著上！！,1,63,1,kanji_term,0,27,F14B8AAE,text4,"\x8E\x89哦！
接著上！！","{{L000}}{{L001}}哦！
接著上！！","[""\\x8E"", ""\\x89""]"
ぉぉぉぉぉぉぉッ！！,1,70,2,normal,0,28,D010C062,text1,\x81\x89ぉぉぉぉぉぉぉッ！！,{{L000}}{{L001}}ぉぉぉぉぉぉぉッ！！,"[""\\x81"", ""\\x89""]"
ぉぉぉぉぉぉぉッ！！,0,70,2,normal,0,28,D010C062,text2,\x81\x89ぉぉぉぉぉぉぉッ！！,{{L000}}{{L001}}ぉぉぉぉぉぉぉッ！！,"[""\\x81"", ""\\x89""]"
>達も行こっか。,1,88,1,normal,0,28,D010C062,text3,\x97>達も行こっか。,{{L000}}>達も行こっか。,"[""\\x97""]"
あ……,1,73,1,normal,0,28,D010C062,text4,\x82あ……,{{L000}}あ……,"[""\\x82""]"
今はこっちに集中だ。,1,70,2,normal,0,29,F54272EB,text1,\x81今はこっちに集中だ。,{{L000}}今はこっちに集中だ。,"[""\\x81""]"
今はこっちに集中だ。,0,70,2,normal,0,29,F54272EB,text2,\x81今はこっちに集中だ。,{{L000}}今はこっちに集中だ。,"[""\\x81""]"
、ハァ……ゼェ、そ、そうか……,1,95,1,normal,0,31,729F1591,text3,\xA1、ハァ……ゼェ、そ、そうか……,{{L000}}、ハァ……ゼェ、そ、そうか……,"[""\\xA1""]"
でな,1,62,2,normal,0,32,CA7834C3,text1,\x82\x93でな,{{L000}}{{L001}}でな,"[""\\x82"", ""\\x93""]"
でな,0,62,2,normal,0,32,CA7834C3,text2,\x82\x93でな,{{L000}}{{L001}}でな,"[""\\x82"", ""\\x93""]"
ェ等、仕留めた獲物を回収するぞ！ 大事な金ヅルだ、取り残すんじゃねぇぞ！,1,110,1,normal,0,32,CA7834C3,text3,\x83\xA1ェ等、仕留めた獲物を回収するぞ！　大事な金ヅルだ、取り残すんじゃねぇぞ！,{{L000}}{{L001}}ェ等、仕留めた獲物を回収するぞ！　大事な金ヅルだ、取り残すんじゃねぇぞ！,"[""\\x83"", ""\\xA1""]"
ぇぞ！,1,73,1,normal,0,32,CA7834C3,text4,\xADぇぞ！,{{L000}}ぇぞ！,"[""\\xAD""]"
みつつ男達が応える。,1,70,2,normal,0,33,4B818274,text1,\x90\xABみつつ男達が応える。,{{L000}}{{L001}}みつつ男達が応える。,"[""\\x90"", ""\\xAB""]"
みつつ男達が応える。,0,70,2,normal,0,33,4B818274,text2,\x90\xABみつつ男達が応える。,{{L000}}{{L001}}みつつ男達が応える。,"[""\\x90"", ""\\xAB""]"
ろか、大きな怪我を負ったヤツもいないようだ。さすがは手練れ揃いというところか,1,100,1,normal,0,33,4B818274,text4,\x93ろか、大きな怪我を負ったヤツもいないようだ。さすがは手練れ揃いというところか,{{L000}}ろか、大きな怪我を負ったヤツもいないようだ。さすがは手練れ揃いというところか,"[""\\x93""]"
怪我を負ったヤツもいないようだ。さすがは手練れ揃いというところか,1,90,2,normal,0,34,19D4006B,text1,\xAA怪我を負ったヤツもいないようだ。さすがは手練れ揃いというところか,{{L000}}怪我を負ったヤツもいないようだ。さすがは手練れ揃いというところか,"[""\\xAA""]"
怪我を負ったヤツもいないようだ。さすがは手練れ揃いというところか,0,90,2,normal,0,34,19D4006B,text2,\xAA怪我を負ったヤツもいないようだ。さすがは手練れ揃いというところか,{{L000}}怪我を負ったヤツもいないようだ。さすがは手練れ揃いというところか,"[""\\xAA""]"
もいないようだ。さすがは手練れ揃いというところか,1,104,1,normal,0,34,19D4006B,text3,もいないようだ。さすがは手練れ揃いというところか,もいないようだ。さすがは手練れ揃いというところか,[]
うだ。さすがは手練れ揃いというところか,1,89,1,normal,0,34,19D4006B,text4,\x82\x88うだ。さすがは手練れ揃いというところか,{{L000}}{{L001}}うだ。さすがは手練れ揃いというところか,"[""\\x82"", ""\\x88""]"
練れ揃いというところか,1,71,2,normal,0,35,718BE304,text1,\x8B練れ揃いというところか,{{L000}}練れ揃いというところか,"[""\\x8B""]"
練れ揃いというところか,0,71,2,normal,0,35,718BE304,text2,\x8B練れ揃いというところか,{{L000}}練れ揃いというところか,"[""\\x8B""]"
ク、左腕を見せて,1,88,1,normal,0,35,718BE304,text3,\x8Fク、左腕を見せて,{{L000}}ク、左腕を見せて,"[""\\x8F""]"
に来ていたクオンが、そっと手を取ってくる。,1,91,1,normal,0,35,718BE304,text4,\x81\xB4に来ていたクオンが、そっと手を取ってくる。,{{L000}}{{L001}}に来ていたクオンが、そっと手を取ってくる。,"[""\\x81"", ""\\xB4""]"
を取ってくる。,1,67,2,normal,0,36,23DE611B,text1,\x89\x8Bを取ってくる。,{{L000}}{{L001}}を取ってくる。,"[""\\x89"", ""\\x8B""]"
を取ってくる。,0,67,2,normal,0,36,23DE611B,text2,\x89\x8Bを取ってくる。,{{L000}}{{L001}}を取ってくる。,"[""\\x89"", ""\\x8B""]"
ったか、どこかに引っかけたのか、痛みがなかったのでクオンに手を取られるまで気付かなかった。,1,110,1,normal,0,36,23DE611B,text3,ったか、どこかに引っかけたのか、痛みがなかったのでクオンに手を取られるまで気付かなかった。,ったか、どこかに引っかけたのか、痛みがなかったのでクオンに手を取られるまで気付かなかった。,[]
まで気付かなかった。,1,80,1,normal,0,36,23DE611B,text4,\x82\x8Bまで気付かなかった。,{{L000}}{{L001}}まで気付かなかった。,"[""\\x82"", ""\\x8B""]"
く傷口に唇をあて、そこから血を吸い出し始めた。,1,83,2,normal,0,37,3BAF6ADD,text1,\xA1く傷口に唇をあて、そこから血を吸い出し始めた。,{{L000}}く傷口に唇をあて、そこから血を吸い出し始めた。,"[""\\xA1""]"
く傷口に唇をあて、そこから血を吸い出し始めた。,0,83,2,normal,0,37,3BAF6ADD,text2,\xA1く傷口に唇をあて、そこから血を吸い出し始めた。,{{L000}}く傷口に唇をあて、そこから血を吸い出し始めた。,"[""\\xA1""]"
に唇をあて、そこから血を吸い出し始めた。,1,100,1,normal,0,37,3BAF6ADD,text3,に唇をあて、そこから血を吸い出し始めた。,に唇をあて、そこから血を吸い出し始めた。,[]
て、そこから血を吸い出し始めた。,1,86,1,normal,0,37,3BAF6ADD,text4,\x81\x82て、そこから血を吸い出し始めた。,{{L000}}{{L001}}て、そこから血を吸い出し始めた。,"[""\\x81"", ""\\x82""]"
こから血を吸い出し始めた。,1,73,2,normal,0,38,69FAE8C2,text1,こから血を吸い出し始めた。,こから血を吸い出し始めた。,[]
こから血を吸い出し始めた。,0,73,2,normal,0,38,69FAE8C2,text2,こから血を吸い出し始めた。,こから血を吸い出し始めた。,[]
のイヤな予感……,1,68,2,normal,0,39,710A0FCF,text1,のイヤな予感……,のイヤな予感……,[]
のイヤな予感……,0,68,2,normal,0,39,710A0FCF,text2,のイヤな予感……,のイヤな予感……,[]
ゥゥゥゥゥゥゥゥゥ,1,89,1,normal,0,39,710A0FCF,text3,ゥゥゥゥゥゥゥゥゥ#@－－#,ゥゥゥゥゥゥゥゥゥ{{L000}},"[""#@－－#""]"
だだだだッ！？,1,77,1,normal,0,39,710A0FCF,text4,だだだだッ！？,だだだだッ！？,[]
で声を上げては駄目だよ,1,71,2,normal,0,40,5335795F,text1,\x8Dで声を上げては駄目だよ,{{L000}}で声を上げては駄目だよ,"[""\\x8D""]"
で声を上げては駄目だよ,0,71,2,normal,0,40,5335795F,text2,\x8Dで声を上げては駄目だよ,{{L000}}で声を上げては駄目だよ,"[""\\x8D""]"
にわざとだろ,1,86,1,normal,0,40,5335795F,text3,\xBEにわざとだろ,{{L000}}にわざとだろ,"[""\\xBE""]"
難を他所に、クオンは手慣れた手付きで傷口に軟膏を塗りつけ、布で巻き付けていく。,1,100,1,normal,0,40,5335795F,text4,\xB9難を他所に、クオンは手慣れた手付きで傷口に軟膏を塗りつけ、布で巻き付けていく。,{{L000}}難を他所に、クオンは手慣れた手付きで傷口に軟膏を塗りつけ、布で巻き付けていく。,"[""\\xB9""]"
手慣れた手付きで傷口に軟膏を塗りつけ、布で巻き付けていく。,1,89,2,normal,0,41,A03E28CB,text1,\xAF手慣れた手付きで傷口に軟膏を塗りつけ、布で巻き付けていく。,{{L000}}手慣れた手付きで傷口に軟膏を塗りつけ、布で巻き付けていく。,"[""\\xAF""]"
手慣れた手付きで傷口に軟膏を塗りつけ、布で巻き付けていく。,0,89,2,normal,0,41,A03E28CB,text2,\xAF手慣れた手付きで傷口に軟膏を塗りつけ、布で巻き付けていく。,{{L000}}手慣れた手付きで傷口に軟膏を塗りつけ、布で巻き付けていく。,"[""\\xAF""]"
ンの笑顔にその気も失せた,1,82,1,normal,0,41,A03E28CB,text4,\x82\xAAンの笑顔にその気も失せた,{{L000}}{{L001}}ンの笑顔にその気も失せた,"[""\\x82"", ""\\xAA""]"
いたから。,1,65,2,normal,0,42,6B62FB6E,text1,\xA6いたから。,{{L000}}いたから。,"[""\\xA6""]"
いたから。,0,65,2,normal,0,42,6B62FB6E,text2,\xA6いたから。,{{L000}}いたから。,"[""\\xA6""]"
オンに差し出す。,1,78,1,normal,0,42,6B62FB6E,text4,\xAFオンに差し出す。,{{L000}}オンに差し出す。,"[""\\xAF""]"
す。,0,112,5,normal,0,43,EDF689C0,text1,\x87\xBAす。,{{L000}}{{L001}}す。,"[""\\x87"", ""\\xBA""]"
す。,0,112,5,normal,0,43,EDF689C0,text2,\x87\xBAす。,{{L000}}{{L001}}す。,"[""\\x87"", ""\\xBA""]"
す。,0,112,5,normal,3,53,3D95F4D0,text1,\x81\xA7す。,{{L000}}{{L001}}す。,"[""\\x81"", ""\\xA7""]"
す。,0,112,5,normal,3,53,3D95F4D0,text2,\x81\xA7す。,{{L000}}{{L001}}す。,"[""\\x81"", ""\\xA7""]"
す。,1,112,5,normal,3,89,93375D4F,text4,\xA7す。,{{L000}}す。,"[""\\xA7""]"
いよ。それはまだ、ハクが持ってて,1,96,1,normal,0,43,EDF689C0,text3,いよ。それはまだ、ハクが持ってて,いよ。それはまだ、ハクが持ってて,[]
うん？,1,73,1,normal,0,43,EDF689C0,text4,うん？,うん？,[]
だろうし、もう少しハクに預けておくね,1,78,2,normal,0,44,21C79E7C,text1,\xBFだろうし、もう少しハクに預けておくね,{{L000}}だろうし、もう少しハクに預けておくね,"[""\\xBF""]"
だろうし、もう少しハクに預けておくね,0,78,2,normal,0,44,21C79E7C,text2,\xBFだろうし、もう少しハクに預けておくね,{{L000}}だろうし、もう少しハクに預けておくね,"[""\\xBF""]"
に預けておくね,1,87,1,normal,0,44,21C79E7C,text3,に預けておくね,に預けておくね,[]
ね,0,161,9,normal,0,44,21C79E7C,text4,\x81\x8Fね,{{L000}}{{L001}}ね,"[""\\x81"", ""\\x8F""]"
ね,0,161,9,normal,8,53,F6EE74BB,text1,\x99ね,{{L000}}ね,"[""\\x99""]"
ね,0,161,9,normal,8,53,F6EE74BB,text2,\x99ね,{{L000}}ね,"[""\\x99""]"
ね,0,161,9,normal,15,93,2608DDEC,text1,\x8Cね,{{L000}}ね,"[""\\x8C""]"
ね,0,161,9,normal,15,93,2608DDEC,text2,\x8Cね,{{L000}}ね,"[""\\x8C""]"
ね,1,161,9,normal,16,92,6A048D24,text3,\x93ね,{{L000}}ね,"[""\\x93""]"
ね,0,161,9,normal,18,30,AF1DA78A,text4,\x80\xA6ね,{{L000}}{{L001}}ね,"[""\\x80"", ""\\xA6""]"
ね,0,161,9,normal,18,31,7A378177,text1,ね,ね,[]
ね,0,161,9,normal,18,31,7A378177,text2,ね,ね,[]
いのか？ 大切な物なんだろう,1,74,2,normal,0,45,D7FCE8B0,text1,\x81\x84いのか？　大切な物なんだろう,{{L000}}{{L001}}いのか？　大切な物なんだろう,"[""\\x81"", ""\\x84""]"
いのか？ 大切な物なんだろう,0,74,2,normal,0,45,D7FCE8B0,text2,\x81\x84いのか？　大切な物なんだろう,{{L000}}{{L001}}いのか？　大切な物なんだろう,"[""\\x81"", ""\\x84""]"
？ 大切な物なんだろう,1,91,1,normal,0,45,D7FCE8B0,text3,\x8B？　大切な物なんだろう,{{L000}}？　大切な物なんだろう,"[""\\x8B""]"
切な物なんだろう,1,78,1,normal,0,45,D7FCE8B0,text4,切な物なんだろう,切な物なんだろう,[]
なんだろう,1,65,2,normal,0,46,F2AE5A39,text1,\x89\xA9なんだろう,{{L000}}{{L001}}なんだろう,"[""\\x89"", ""\\xA9""]"
なんだろう,0,65,2,normal,0,46,F2AE5A39,text2,\x89\xA9なんだろう,{{L000}}{{L001}}なんだろう,"[""\\x89"", ""\\xA9""]"
ても大切なものかな。とっても、とってもね……,1,102,1,normal,0,46,F2AE5A39,text3,\x81\xA3ても大切なものかな。とっても、とってもね……,{{L000}}{{L001}}ても大切なものかな。とっても、とってもね……,"[""\\x81"", ""\\xA3""]"
のかな。とっても、とってもね……,1,86,1,normal,0,46,F2AE5A39,text4,\x82のかな。とっても、とってもね……,{{L000}}のかな。とっても、とってもね……,"[""\\x82""]"
っても、とってもね……,1,71,2,normal,0,47,F965904A,text1,\xA8っても、とってもね……,{{L000}}っても、とってもね……,"[""\\xA8""]"
っても、とってもね……,0,71,2,normal,0,47,F965904A,text2,\xA8っても、とってもね……,{{L000}}っても、とってもね……,"[""\\xA8""]"
何でまた……,1,86,1,normal,0,47,F965904A,text3,\x92何でまた……,{{L000}}何でまた……,"[""\\x92""]"
クが持ってて,1,76,1,normal,0,47,F965904A,text4,クが持ってて,クが持ってて,[]
ん。貸すだけだから、何時かちゃんと返してもらうから,1,85,2,normal,0,48,355487F6,text1,ん。貸すだけだから、何時かちゃんと返してもらうから,ん。貸すだけだから、何時かちゃんと返してもらうから,[]
ん。貸すだけだから、何時かちゃんと返してもらうから,0,85,2,normal,0,48,355487F6,text2,ん。貸すだけだから、何時かちゃんと返してもらうから,ん。貸すだけだから、何時かちゃんと返してもらうから,[]
ちゃんと返してもらうから,1,92,1,normal,0,48,355487F6,text3,\x81\x8Bちゃんと返してもらうから,{{L000}}{{L001}}ちゃんと返してもらうから,"[""\\x81"", ""\\x8B""]"
、マロの呪法を見てくれたでおじゃるか！？,1,80,2,normal,0,49,5DCE9474,text1,\xAE\xBF、マロの呪法を見てくれたでおじゃるか！？,{{L000}}{{L001}}、マロの呪法を見てくれたでおじゃるか！？,"[""\\xAE"", ""\\xBF""]"
、マロの呪法を見てくれたでおじゃるか！？,0,80,2,normal,0,49,5DCE9474,text2,\xAE\xBF、マロの呪法を見てくれたでおじゃるか！？,{{L000}}{{L001}}、マロの呪法を見てくれたでおじゃるか！？,"[""\\xAE"", ""\\xBF""]"
んてチョチョイのチョイでおじゃるよ,1,87,1,normal,0,49,5DCE9474,text4,\xAAんてチョチョイのチョイでおじゃるよ,{{L000}}んてチョチョイのチョイでおじゃるよ,"[""\\xAA""]"
したせいか、妙に懐かれたな。この男に別にむものは無いが、こうも纏わり付かれると少々うっとうしい,1,90,2,normal,0,50,DF531E9F,text1,\xB1したせいか、妙に懐かれたな。この男に別に<含:ふく>むものは無いが、こうも纏わり付かれると少々うっとうしい,{{L000}}したせいか、妙に懐かれたな。この男に別に{{L001}}むものは無いが、こうも纏わり付かれると少々うっとうしい,"[""\\xB1"", ""<含:ふく>""]"
したせいか、妙に懐かれたな。この男に別にむものは無いが、こうも纏わり付かれると少々うっとうしい,0,90,2,normal,0,50,DF531E9F,text2,\xB1したせいか、妙に懐かれたな。この男に別に<含:ふく>むものは無いが、こうも纏わり付かれると少々うっとうしい,{{L000}}したせいか、妙に懐かれたな。この男に別に{{L001}}むものは無いが、こうも纏わり付かれると少々うっとうしい,"[""\\xB1"", ""<含:ふく>""]"
の男に別にむものは無いが、こうも纏わり付かれると少々うっとうしい,1,110,1,normal,0,50,DF531E9F,text3,の男に別に<含:ふく>むものは無いが、こうも纏わり付かれると少々うっとうしい,の男に別に{{L000}}むものは無いが、こうも纏わり付かれると少々うっとうしい,"[""<含:ふく>""]"
無いが、こうも纏わり付かれると少々うっとうしい,1,93,1,normal,0,50,DF531E9F,text4,\x81\xAF無いが、こうも纏わり付かれると少々うっとうしい,{{L000}}{{L001}}無いが、こうも纏わり付かれると少々うっとうしい,"[""\\x81"", ""\\xAF""]"
うも纏わり付かれると少々うっとうしい,1,78,2,normal,0,51,FC9047FF,text1,\x81\x93うも纏わり付かれると少々うっとうしい,{{L000}}{{L001}}うも纏わり付かれると少々うっとうしい,"[""\\x81"", ""\\x93""]"
うも纏わり付かれると少々うっとうしい,0,78,2,normal,0,51,FC9047FF,text2,\x81\x93うも纏わり付かれると少々うっとうしい,{{L000}}{{L001}}うも纏わり付かれると少々うっとうしい,"[""\\x81"", ""\\x93""]"
ゃん。やけに不安がってたが、大したこと無かったろ？,1,95,1,normal,0,51,FC9047FF,text4,\xA1ゃん。やけに不安がってたが、大したこと無かったろ？,{{L000}}ゃん。やけに不安がってたが、大したこと無かったろ？,"[""\\xA1""]"
不安がってたが、大したこと無かったろ？,1,79,2,normal,0,52,AEC5C5E0,text1,不安がってたが、大したこと無かったろ？,不安がってたが、大したこと無かったろ？,[]
不安がってたが、大したこと無かったろ？,0,79,2,normal,0,52,AEC5C5E0,text2,不安がってたが、大したこと無かったろ？,不安がってたが、大したこと無かったろ？,[]
、大したこと無かったろ？,1,92,1,normal,0,52,AEC5C5E0,text3,\x81\x8C、大したこと無かったろ？,{{L000}}{{L001}}、大したこと無かったろ？,"[""\\x81"", ""\\x8C""]"
と無かったろ？,1,77,1,normal,0,52,AEC5C5E0,text4,\x93と無かったろ？,{{L000}}と無かったろ？,"[""\\x93""]"
ろ？,1,62,2,normal,0,53,2851B74E,text1,\x9Fろ？,{{L000}}ろ？,"[""\\x9F""]"
