start_offset_hex,start_offset_dec,byte_budget,ref_count,ja,locks,kr
0x2F50,12112,62,2,"你們要把剩下的傢伙給解決掉哦！
接著上！！",[],
0x2FF9,12281,37,164,嗚哦哦哦哦哦哦哦哦哦！！,[],
0x3067,12391,25,3,那麼我們也上吧。,[],
0x30A6,12454,16,1,啊，好……,[],
0x3117,12567,67,11,唉，雖然有許多想吐槽的地方，現在先集中精神。,[],
0x4410,17424,10,1,おろ？,[],
0x445D,17501,55,7,噫呀啊啊啊啊啊啊啊啊啊啊啊啊啊啊！？,[],
0x4549,17737,139,17,所有事都發生在一瞬間。從草叢中突然竄出某種巨大的東西，落在附近的男人面前，巨大剪刀相互交叉。,[],
0x4695,18069,76,10,沒有動作，甚至來不及叫喚，有什麼東西飛到了半空中。,[],
0x4797,18327,70,7,嗚……嗚哇啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！！,[],
0x484B,18507,37,3,嗚哇，小隻的也過來了！！,[],
0x48BC,18620,25,2,發生什麼事了……,[],
0x4940,18752,52,5,拉開距離！重整架式，全員一起上！！,[],
0x4A04,18948,58,7,聽到右近的命令後，有幾個男人拿起武器。,[],
0x4ACD,19149,61,292,不過{{LOCK_AT_DASH}}奇奇利卻從一旁接連不斷湧過來。,"[""{{LOCK_AT_DASH}}""]",
0x4BAB,19371,58,3,小、小心點，牠們來了啊{{LOCK_AT_DASH}}啊啊啊！？,"[""{{LOCK_AT_DASH}}""]",
0x4C6D,19565,82,5,大家連拿起武器的時間都沒有，就被四處追著跑，受到襲擊。,[],
0x4D24,19748,13,1,哈克！！,[],
0x4D7B,19835,25,2,抱歉，得救了……,[],
0x4E25,20005,94,5,唉……我還在想彼此的想法有點對不上。哈克原來是指那種生物啊……,[],
0x4F1F,20255,37,2,這傢伙應該……很不妙吧？,[],
0x4F80,20352,31,2,吃我一擊啊啊啊啊！！,[],
0x502D,20525,95,8,"你們先退下！！沒事的人趕快帶著無法動彈的人逃走！！
馬上逃離！！",[],
0x50F5,20725,37,18,你們倆在幹嘛，快點逃啊！,[],
0x51A7,20903,16,1,嗚……哦？,[],
0x51F5,20981,43,15,噫……噫……嗚嗚……噫噫……,[],
0x5294,21140,67,3,…………什麼！？喂，你怎麼抱著別人的腳啊！！,[],
0x532E,21294,40,2,嗚哇哇……哇啊啊啊啊啊……,[],
0x60CA,24778,116,19,"哈克等人好不容易逃生。
未能安心多久，巨奇利就帶著蟲群，循著血的味道追了上來。",[],
0x613E,24894,171,10,"Haku and the others have barely escaped alive,
but before they can so much as catch their breath,
the Boro-Gigiri and its legion of bugs catch on
to the scent of blood…",[],
0x6284,25220,122,7,"這樣下去，就會將蟲群引入村子。
為了避免這種慘劇，無論如何都得在這裡阻止牠們才行。",[],
0x63FD,25597,98,150,"因此哈克和久遠、右近分開行動，
和害怕不已的麻呂呂一起埋伏巨奇利。",[],
0x6533,25907,79,4,沒錯，哈克所想到的，是將自身當作誘餌的捨身擊退作戰。,[],
0x6618,26136,37,3,哦，牠們動起來了是也！？,[],
0x66B7,26295,16,1,上鉤了……,[],
0x6712,26386,64,3,找到了……很順利地讓牠跟那些嘍囉們分開了。,[],
0x67E8,26600,61,12,話說回來，您要如何引誘最關鍵的巨奇利呢？,[],
0x6896,26774,16,1,給牠一擊。,[],
0x68D4,26836,10,1,喔呵？,[],
0x6930,26928,49,3,用你那個咒法，給巨奇利全力一擊。,[],
0x6A01,27137,55,3,只要順利，應該就能只吸引到牠的注意。,[],
0x6A99,27289,25,1,由麻、麻呂來嗎？,[],
0x6B3B,27451,101,5,"除了你還有誰呢。
快點，再拖拖拉拉下去，那些當誘餌的人就要被吃掉了。",[],
0x6FBD,28605,71,10,"沒……沒錯。
如果不相信好朋友，那還能相信誰呢。",[],
0x709E,28830,31,2,知道了。麻呂要上了！,[],
0x7131,28977,37,2,雖說我只是待在一邊而已。,[],
0x71DD,29149,70,10,唉，要是真發生什麼事，那右近他們也會出手的吧。,[],
0x7291,29329,22,1,喔哦哦哦哦哦。,[],
0x72FF,29439,55,11,唔唔……吃麻呂這一擊，喔呵{{LOCK_AT_DASH}}！！,"[""{{LOCK_AT_DASH}}""]",
0x73C6,29638,58,3,……不能想辦法改善施展術式時的叫聲嗎？,[],
0x74E7,29927,58,8,有好幾隻一起過來了……還是被引來了啊。,[],
0x759D,30109,34,2,不過，就這幾隻的話……,[],
0x7639,30265,76,5,各位，就按照作戰來，不要勉強自己，盡可能誘導牠們。,[],
0x79DB,31195,88,11,哈克大人，您幹得太漂亮了！？麻呂和大家都不用因此喪命了！？,[],
0x7ADD,31453,71,10,"對，這樣就結束了。
所以說別那樣拉我啦，煩死了。",[],
0x7BB3,31667,58,3,辦到了，麻呂和大家都辦到了，哈克大人！,[],
0x7C51,31825,40,2,知道了，所以快放開我吧……,[],
0x7D36,32054,108,6,"那麼哈克，我們回去吧。
回去後要開宴會了。
要盡情喝酒，然後還得洗個澡呢。",[],
0x7E60,32352,89,5,"久遠的這席話，讓遍體鱗傷的每個人
都切實體會到了自己還活著。",[],
0x7F7B,32635,73,5,歡欣鼓舞的聲音逐漸擴散開來，然後變成勝利的凱歌。,[],
0x88F3,35059,70,7,哈克和久遠打倒巨奇利，使得右近對他們刮目相看。,[],
0x89E0,35296,82,7,他們和右近、麻呂呂一起行動，為了找工作，朝向帝都前進。,[],
0x90C7,37063,76,9,右近率領著同伴，為了與討伐隊會合，前往山路的深處。,[],
0xA800,43008,52,3,你、你們……為什麼會在這種地方！？,[],
0xABE8,44008,68,3,"好了，我說你們，抓住這些女人，
把男人都打趴。",[],
0xB075,45173,149,3,"打倒伯勞一夥的哈克一行人，和大和將領奧修特爾相遇了。
他散發出的廉潔威嚴感，確實讓人感覺到是大人物。",[],
0xB29D,45725,104,2,"他們被招待到奧修特爾的宅邸，
途中被帝皇膝下的大都市的莊嚴之姿所震懾。",[],
0xCDDC,52700,43,2,妳說這時期，難道有什麼事嗎？,[],
0xD27E,53886,131,2,"馬上就要舉辦公主大人的聖誕慶典了。
為了祝壽，各國的皇與貴族子嗣們都會上京來帝都。",[],
0xD3D2,54226,85,2,要在將會繼任下任帝皇的公主殿下繼承家業之前，先宣示效忠。,[],
0xD4E6,54502,70,2,這樣啊，所以那個就是為此而來的某個皇二代了嗎。,[],
0xD5D4,54740,70,2,只是為了磕個頭就要長途跋涉而來，真是辛苦了呢。,[],
0xD8EE,55534,113,2,"杏樹公主大人，可是身為現人神的帝皇陛下唯一的直系子嗣。
是正宗的天子大人喔。",[],
0xDFE3,57315,82,2,要是有認識的人某天突然人間蒸發了，我肯定是會做惡夢的。,[],
0xE2DD,58077,91,2,就算沒有慶典，各方勢力都會按照慣例在這時期把後繼者送來這裡。,[],
0xE3F2,58354,58,3,然後讓他們在這裡待幾年，學習各種事務。,[],
0xE4F1,58609,67,3,有拜名師為師的人，也有成為學徒努力學習的人。,[],
0xE5FC,58876,64,7,武藝優秀者加入軍隊，或者當知名人士的小弟。,[],
0xE6E7,59111,46,3,是這樣啊……大家都好厲害喔……,[],
0xE7FC,59388,13,2,咦……？,[],
0xEFC5,61381,136,5,向他們展示壓倒性的富強與權力，來扼殺他們的叛意，然後讓他們在這裡花錢以帶動經濟與文化發展。,[],
0xF0FD,61693,52,1,光是隨便想想，就有這麼多的益處呢。,[],
0xF1DC,61916,65,1,"真不愧是姐姐大人呢。
居然能察覺到這些意義。",[],
0xF2C6,62150,61,1,貓音掃了我這邊一眼，臉上露出得意的笑容。,[],
0xF8FF,63743,61,1,說著這些話的時候，之前的隊列從眼前經過。,[],
0xF9FF,63999,99,5,"不過還真華麗呢。
花俏的服裝跟閃亮的裝飾。
又是奏樂又是唱歌跳舞……",[],
0xFED8,65240,106,1,為了炫耀權力跟宣傳名聲，有很多家族都會用這樣豪華的裝飾來個氣派的遊行。,[],
0x100C0,65728,70,1,貴族や豪族達が力を誇示する絶好の機会だからね。,[],
0x10BB7,68535,157,1,跟露露緹耶一起運來的載貨車雖談不上不氣派，但是上面有許多精緻的花紋，塗漆也十分華麗美觀，是品質上乘之物。,[],
0x110F3,69875,46,2,那妳是喜歡樸素到那種程度的嗎？,[],
0x111D1,70097,58,1,不知為何，貓音她好像很害臊似的扭過頭。,[],
0x112D7,70359,67,1,不知從何處突然響起了一陣叫著貓音名字的聲音。,[],
0x113D8,70616,94,1,我環顧四周，一位少年從那過分普通的車裡探出頭，朝這裡揮起了手。,[],
0x115E7,71143,49,1,那少年專程從車上下來，跑向這邊。,[],
0x116E8,71400,98,1,"好久不見了貓音小姐。
好高興喔，沒想到剛抵達帝都就能見到貓音小姐。",[],
0x11FC0,73664,112,1,聽到貓音簡短的介紹，少年臉上浮現有點可惜的表情，略帶苦笑地向我們行了一禮。,[],
0x13CE3,81123,53,1,"他是哈克。
姑且是我們的……隊長吧。",[],
0x15FCA,90058,127,1,所以他才會對身為兄長大人妹妹的我特別關照。我每天都埋在書堆裡，他還會一直來跟我搭話。,[],
0x191F5,102901,94,1,被這麼一說讓我感到有些難為情，就算不是真名還是有點不好意思呢。,[],
0x1AFD4,110548,79,2,阿圖依對各種攤子都很有興趣的樣子，時不時地駐足細看。,[],
0x1C5CC,116172,86,2,"嗯～？
如果你們是的話，就可以打聽許多事情給今後當參考嘛。",[],
0x1C9EA,117226,49,2,戀愛……妳到底來帝都做什麼的啊。,[],
0x1D3FF,119807,103,1,我是不否認啦，但妳好意思說她啊。就奇特這點久遠妳可一點都不輸人家啊。,[],
0x1DBDC,121820,76,1,奧修特爾的義弟奇羽琉也加入了意氣昂揚的哈克一行人。,[],
0x1E700,124672,22,1,咕嚕嚕嚕嚕嚕！,[],
0x1EFCC,126924,100,2,說到赫蘿蘿恩鳥啊，可是更加嬌小的啊！也更可愛啊！顏色也更鮮豔啊！！,[],
0x1F784,128900,158,1,"哈克一行人順利完成了作為密探的首次任務。
由於他們的活躍表現，伯勞一夥再度被送進監獄裡，等待進一步的判決。",[],
0x207BF,133055,82,1,在水戶的請求下，哈克道出從失去記憶到現在為止發生的事。,[],
0x223BF,140223,70,1,她坐在躺椅上放鬆、擅自吃起點心，還看起書來……,[],
0x225D2,140754,79,1,哈克等人啞口無言，完全無法想像這就是要繼承國家的人。,[],
0x23EE8,147176,91,1,我和露露緹耶一起走向伙房的時候，從背後傳來了一個清幽的聲音。,[],
0x23FE1,147425,49,3,我一回過頭，看見一個女人站在那。,[],
0x254FB,152827,91,1,感覺她並沒有在盤算著什麼壞事，再怎麼說還是露露緹耶崇拜的人。,[],
0x25FDF,155615,59,2,"宗宗宗宗宗近！？
妳為什麼會在這裡{{LOCK_AT_DASH}}","[""{{LOCK_AT_DASH}}""]",
0x269DB,158171,170,1,"成程、少々お戯れが過ぎる。
姫殿下の指南役を聖上より賜った身として躾が必要と判断させていただく。",[],
0x26A85,158341,134,1,"原來如此，您玩得有點過頭了。
聖上指派在下作為公主殿下的導師，在下認為您需要被教訓一下了。",[],
0x26FF1,159729,85,3,杏樹雖然好像想說些什麼，但被宗近輕輕地抱起，放在膝蓋上。,[],
0x271C2,160194,127,1,宗近毫不在意其他人的目光，直接掀起杏樹的衣服，連內褲都拉了下來讓杏樹的屁股暴露在外。,[],
0x287D1,165841,115,1,宮內收藏了古今中外各式各樣的書籍，也有不會讓公主殿下感到無趣的談話對象才是。,[],
0x28BB9,166841,97,1,余想讀的才不是那種無聊的書，想聊天的對象也不是你們給余準備的人！,[],
0x28CF6,167158,124,2,點心也是，再鮮甜再美味的點心就算堆得跟山一樣高，如果不能敞開肚皮吃的話也毫無意義。,[],
0x29ADE,170718,74,1,"咦？
啊……嗯，怎麼說呢……大概有那種感覺……吧？",[],
0x29FE1,172001,98,1,"但是公主殿下是獨一無二的。
是總有一天要統治這個大和國的重要存在。",[],
0x2ABFB,175099,10,2,嗯……,[],
0x2B5A1,177569,100,2,她可是大和國八柱將的其中一人，那位被頌讚為帝都的守護者的宗近大人。,[],
0x2C7F0,182256,70,1,在下稟告聖上以後，希望公主殿下能更加努力學習。,[],
0x2CBB1,183217,133,1,方才拜讀過後，在下發現裡面的一些內容對公主殿下來說有些過激，因此在下還需要回去多加研讀。,[],
0x2CFDF,184287,37,2,那個……那是……我的……,[],
0x2E3DA,189402,92,1,"但即使她強硬地要求哈克等人「綁架余吧」，
也沒有人認真理會她。",[],
0x2EEFF,192255,71,1,"有什麼不好的。
最近都沒什麼大事發生，多無聊啊。",[],
0x2FDD4,196052,46,1,真可惜，妳以為我是奧修特爾嗎？,[],
0x30DF0,200176,77,1,"好了，該結束這場鬧劇了。
不要再胡鬧了，快點回去吧。",[],
0x316D9,202457,89,2,"姐、姐姐大人，沒事吧？
這樣摀著耳朵蹲著……有哪裡不舒服嗎？",[],
0x31AF3,203507,121,1,總之，在事情鬧更大之前快點回去吧。雖說好像是有些晚了，但我們還是相信為時不晚吧。,[],
0x325D8,206296,114,1,"大夥，計畫變更！
不要手下留情地給我教訓他們！
少女純潔的愛情就由我們來守護！",[],
0x338CF,211151,58,1,這件事要是曝光的話會怎麼樣，你知道吧。,[],
0x339D9,211417,53,2,"這傢伙是認真的嗎。
絕對是知道的吧。",[],
0x346FE,214782,37,1,是……是！草民……惶恐！,[],
0x35081,217217,64,1,喂……妳要去哪裡，妳還沒跟奧修特爾打啊！？,[],
0x357E2,219106,98,1,"這全都是鄙人引起的。
竟讓公主殿下如此輕易地被擄走，鄙人罪該萬死。",[],
0x365D6,222678,64,2,是的，但是我想起來還有事情還沒傳達給你們。,[],
0x369D4,223700,56,1,"在下已經阻止過了吧。
這種愚蠢的遊戲。",[],
0x3D1C7,250311,95,1,"哈克等人成功捉住了伯勞一夥。
可憐的伯勞被當作鵟的代罪羔羊押走。",[],
0x407B3,264115,113,1,"就是那些該死的莊家開設的無照賭場。
不僅如此，還連帶讓假貨跟詐欺行為橫行啊。",[],
0x419DD,268765,43,1,喂喂，這可不像平常的右近啊。,[],
0x426F9,272121,110,3,"我們會喬裝成客人上船，不是去做什麼危險的事啦。
你看，邀請函我都弄到手了。",[],
0x42B88,273288,140,2,"我知道了啦，真拿你沒辦法。
都來到這裡了就奉陪到底吧……但要是發生危險的話我真的會先逃跑的喔。",[],
0x437D0,276432,76,1,在那房間裡有個牢籠，裡面關著看起來兇猛無比的蟲子。,[],
0x479EC,293356,58,2,既然下定決心了那就不客氣地……開動啦。,[],
0x4A5B6,304566,114,1,"就說沒辦法啊。
那艘船怎麼看都已經載滿了。
要是連我們都搭上去的話絕對會沉的。",[],
0x4A9C8,305608,64,1,怎麼可能呢，對於小哥我只有說不完的感激啊。,[],
0x4D1E4,315876,31,1,結果還是變成這樣啊！,[],
0x503EA,328682,52,1,比起那個，小哥，這個你覺得怎麼樣？,[],
0x513FD,332797,118,1,我那麼斤斤計較地計算著錢包的重量，一點一點地買酒喝，他卻隨時喝著這種高級美酒。,[],
0x53FA3,343971,121,1,今天也是，如果只有我一個人的話可能就大事不妙了，最後卻像這樣，算是成功解決了啊。,[],
0x577DA,358362,74,2,"你……你還在猶豫什麼！
快、快把他們全部幹掉啊！！",[],
0x597B9,366521,73,1,你們這些人，不會天真地認為他們會老實解放人質吧？,[],
0x5A5EE,370158,46,1,你們知道被擄走的人們在哪裡嗎？,[],
0x5ADFF,372223,130,1,可是，照我來看老爺是指揮的中心人物。沒有相應的稱呼可不好。改叫首領，或是大將比較好嗎？,[],
0x5B7EB,374763,61,1,哼哼，螻蟻之輩死命地躲在他們的巢穴裡呢。,[],
0x5BFEF,376815,86,1,"大和的兵力有限。
考慮地形後這裡能夠配置的兵力最多兩萬……",[],
0x5D1FF,381439,25,1,全軍、一歩前進。,[],
0x5DBDF,383967,34,1,別開玩笑了啊啊啊啊！！,[],
0x5EDE9,388585,92,1,"此時挺身而出的，是勸諫憤怒不已的主君，
主動殿後的隊長澤古尼。",[],
0x61200,397824,34,1,你……是要捨身成仁嗎？,[],
0x613D0,398288,52,1,袞杜魯亞並未回答澤古尼，轉身離去。,[],
0x61BDD,400349,56,1,"我是隊長澤古尼！
希望與你單挑決鬥！！",[],
0x62BC8,404424,92,1,"電光石火間，
雙方都使出了迅雷不及掩耳的攻擊……一切回歸寂靜。",[],
0x631E5,405989,43,1,哼……成功給你……一擊了嗎。,[],
0x65281,414337,131,1,"哈克在當地和麻呂呂偶然重逢，一起前往遺跡深處。
那裡是好幾個像棺材一樣的裝置相連的設施。",[],
0x679E0,424416,77,3,"那個金屬管子裡有冷氣，
大概就是靠那個冷凍棺木的吧。",[],
0x692F0,430832,58,1,就當真相已近在眼前時，哈克失去了意識。,[],
0x6B4EF,439535,31,1,哎呀呀，不能做掉嗎？,[],
0x6C4F4,443636,80,1,"我確實擔心祖國，
但比起這個我更擔心哈克和大家的安危。",[],
0x6E19E,450974,113,1,"真是不稱心。
雖然在下已經引頸期盼這一刻很久了，但也就唯獨現在不希望他出現。",[],
0x732A5,471717,112,1,的確，偷吃了幾次大小姐的點心，是我不對，但是那也只是個小小的惡作劇而已嘛。,[],
0x73E98,474776,118,1,我等を信じ敵陣奥へと襲撃を仕掛けたハク殿達の為に、ここで退くわけにはいかぬのだ,[],
0x749D5,477653,122,2,"圧倒的な闘気をまとった槍撃を、
歯を食いしばって堪え、鍔迫り合いを続ける。",[],
0x756D6,480982,70,1,話說，身體也差不多活動開了，差不多該繼續了吧？,[],
0x75BFE,482302,10,2,あん？,[],
0x793E2,496610,31,2,什麼啊，這些傢伙……,[],
0x79FD8,499672,98,2,"那群人怎麼回事啊？
都被打得遍體鱗傷了還一直衝過來，是瘋了嗎……？",[],
0x7ECC0,519360,109,1,就算看到突然闖入的身影，杏樹也只是將那無法聚焦的瞳孔轉向這邊，毫無反應。,[],
0x7FF96,524182,107,1652,"你只要試試看就知道鄙人是否在愚弄你了。
說不定能夠再次嘗到敗北的滋味呢？",[],
0x85FFD,548861,10,1,はい！,[],
0x8B0F5,569589,100,1,「吾之武勇皆為帝皇所賜，故吾不可敗北，亦不可容忍此武勇遭受玷汙。」,[],
0x8D1E0,578016,49,1,「啊啊啊啊啊啊啊啊啊啊啊啊！！」,[],
